Occupency,Date,Time
03/27/21,02:33:47,0%
03/27/21,03:00:53,0%
03/27/21,03:16:00,0%
03/27/21,03:31:07,0%
03/27/21,03:46:14,0%
03/27/21,04:01:23,0%
03/27/21,04:16:30,0%
03/27/21,04:31:37,0%
03/27/21,04:46:43,0%
03/27/21,05:01:50,0%
03/27/21,05:16:56,0%
03/27/21,05:32:04,0%
03/27/21,05:47:11,0%
03/27/21,06:02:17,0%
03/27/21,06:17:24,0%
03/27/21,06:32:32,0%
03/27/21,06:47:38,0%
03/27/21,07:02:45,0%
03/27/21,07:17:53,0%
03/27/21,07:33:00,0%
03/27/21,07:48:06,0%
03/27/21,08:03:12,6%
03/27/21,08:18:20,16%
03/27/21,08:33:26,27%
03/27/21,08:48:33,35%
03/27/21,09:03:39,40%
03/27/21,09:18:46,41%
03/27/21,09:33:54,42%
03/27/21,09:49:01,45%
03/27/21,10:04:07,56%
03/27/21,10:19:15,52%
03/27/21,10:34:21,58%
03/27/21,10:49:28,62%
03/27/21,11:04:35,59%
03/27/21,11:19:42,56%
03/27/21,11:34:49,57%
03/27/21,11:49:56,65%
03/27/21,12:05:03,72%
03/27/21,12:20:09,74%
03/27/21,12:35:16,80%
03/27/21,12:50:22,75%

06/13/21,20:13:31,0%
